Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_n_estimators;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'max_depth': None, 'max_features': 1, 'n_estimators': 10, 'random_state': 17};0.06063246726989746;0.0029844954706139985;0.009936650594075521;0.0016430101922876295;;1;10;17;{'max_depth': None, 'max_features': 1, 'n_estimators': 10, 'random_state': 17};0.6056191467221644;0.7533960292580982;0.7175732217573222;0.6920668058455115;0.06298985842030236;13;0.9989545216936748;0.9989567031820553;0.9989572471324296;0.9989561573360533;1.1776997339467287e-06
{'max_depth': None, 'max_features': 1, 'n_estimators': 10, 'random_state': 42};0.06068555514017741;0.004042037391868106;0.008737802505493164;0.0002132504590151822;;1;10;42;{'max_depth': None, 'max_features': 1, 'n_estimators': 10, 'random_state': 42};0.603537981269511;0.741901776384535;0.698744769874477;0.6812804453723034;0.057845463402302504;15;0.9994772608468374;0.9989567031820553;0.9994786235662148;0.9993041958650357;0.00024571506234494515
{'max_depth': None, 'max_features': 1, 'n_estimators': 50, 'random_state': 17};0.15851227442423502;0.009189593965014092;0.02576788266499837;0.0006358972386980639;;1;50;17;{'max_depth': None, 'max_features': 1, 'n_estimators': 50, 'random_state': 17};0.7200832466181062;0.8599791013584117;0.8462343096234309;0.8086290883785665;0.06300843900595465;6;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'max_features': 1, 'n_estimators': 50, 'random_state': 42};0.1599891185760498;0.004032739525846728;0.02626355489095052;0.0010356758972677443;;1;50;42;{'max_depth': None, 'max_features': 1, 'n_estimators': 50, 'random_state': 42};0.7055150884495317;0.8819226750261233;0.8629707112970711;0.8166318719554627;0.07913458720396943;5;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'max_features': 1, 'n_estimators': 100, 'random_state': 17};0.2713628609975179;0.0054966520079989785;0.049468278884887695;0.0012515333310149724;;1;100;17;{'max_depth': None, 'max_features': 1, 'n_estimators': 100, 'random_state': 17};0.7533818938605619;0.8756530825496343;0.8755230125523012;0.8347251217814892;0.05765351563469156;2;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'max_features': 1, 'n_estimators': 100, 'random_state': 42};0.2693638801574707;0.0013760153224927157;0.05082893371582031;0.0017254209205963427;;1;100;42;{'max_depth': None, 'max_features': 1, 'n_estimators': 100, 'random_state': 42};0.7585848074921956;0.8892371995820272;0.891213389121339;0.8462073764787752;0.06210932019612256;1;1.0;1.0;1.0;1.0;0.0
{'max_depth': 5, 'max_features': 1, 'n_estimators': 10, 'random_state': 17};0.05067674318949381;0.004031278181062117;0.006865580876668294;0.0008470484852303711;5;1;10;17;{'max_depth': 5, 'max_features': 1, 'n_estimators': 10, 'random_state': 17};0.4994797086368366;0.6165099268547545;0.5648535564853556;0.5601948503827419;0.0479152303831132;18;0.8348144276006273;0.7829942618675013;0.7857142857142857;0.8011743250608047;0.02381304973607398
{'max_depth': 5, 'max_features': 1, 'n_estimators': 10, 'random_state': 42};0.04569021860758463;0.001054588492380931;0.007706483205159505;0.0017190268379344588;5;1;10;42;{'max_depth': 5, 'max_features': 1, 'n_estimators': 10, 'random_state': 42};0.5161290322580645;0.6520376175548589;0.5575313807531381;0.5751565762004175;0.05689078904048879;17;0.8149503397804495;0.7621283255086072;0.7935349322210636;0.7902045325033734;0.02169270183945699
{'max_depth': 5, 'max_features': 1, 'n_estimators': 50, 'random_state': 17};0.09684435526529948;0.0022654857090987886;0.01605669657389323;0.0014358708512116672;5;1;50;17;{'max_depth': 5, 'max_features': 1, 'n_estimators': 50, 'random_state': 17};0.644120707596254;0.754440961337513;0.7228033472803347;0.7070285316631872;0.04641732542725014;12;0.9330893883951908;0.9003651538862807;0.9150156412930136;0.9161567278581617;0.013383956563996255
{'max_depth': 5, 'max_features': 1, 'n_estimators': 50, 'random_state': 42};0.09737467765808105;0.005770570927487806;0.016036113103230793;2.7292650890356664e-05;5;1;50;42;{'max_depth': 5, 'max_features': 1, 'n_estimators': 50, 'random_state': 42};0.6482830385015609;0.7920585161964472;0.7018828451882845;0.7139874739039666;0.0593451299147577;11;0.8975431259801359;0.9128847157016171;0.8821689259645464;0.8975322558820998;0.012539671006111166
{'max_depth': 5, 'max_features': 1, 'n_estimators': 100, 'random_state': 17};0.15602652231852213;0.0018326208058547712;0.027426958084106445;0.0004619418061824301;5;1;100;17;{'max_depth': 5, 'max_features': 1, 'n_estimators': 100, 'random_state': 17};0.6857440166493236;0.800417972831766;0.7217573221757322;0.7359081419624217;0.047893359749155574;10;0.9539989545216937;0.936358894105373;0.9306569343065694;0.9403382609778786;0.009936095727541915
{'max_depth': 5, 'max_features': 1, 'n_estimators': 100, 'random_state': 42};0.15806015332539877;0.0028349702455194126;0.02658422787984212;0.0004112625044177424;5;1;100;42;{'max_depth': 5, 'max_features': 1, 'n_estimators': 100, 'random_state': 42};0.7023933402705516;0.8087774294670846;0.75;0.7536534446764092;0.043530174630426424;9;0.9336121275483533;0.9300991131977048;0.9311783107403545;0.9316298504954709;0.0014692931565446845
{'max_depth': 10, 'max_features': 1, 'n_estimators': 10, 'random_state': 17};0.051226139068603516;0.0010919144745662876;0.00950773557027181;0.0035335476819783034;10;1;10;17;{'max_depth': 10, 'max_features': 1, 'n_estimators': 10, 'random_state': 17};0.5806451612903226;0.7314524555903866;0.6317991631799164;0.6478775226165623;0.06263597973621908;16;0.9738630423418714;0.9775691184141888;0.970281543274244;0.9739045680101013;0.0029752849881344045
{'max_depth': 10, 'max_features': 1, 'n_estimators': 10, 'random_state': 42};0.05483373006184896;0.0038847974410509277;0.007874647776285807;0.00085755112570952;10;1;10;42;{'max_depth': 10, 'max_features': 1, 'n_estimators': 10, 'random_state': 42};0.6253902185223725;0.7304075235109718;0.700836820083682;0.6854558107167711;0.04424854915526902;14;0.9801359121798223;0.9780907668231612;0.9692387904066736;0.9758218231365524;0.00472919266009605
{'max_depth': 10, 'max_features': 1, 'n_estimators': 50, 'random_state': 17};0.1229252815246582;0.002132620912487357;0.02306373914082845;0.0013881206658960857;10;1;50;17;{'max_depth': 10, 'max_features': 1, 'n_estimators': 50, 'random_state': 17};0.7242455775234131;0.831765935214211;0.8138075313807531;0.789839944328462;0.04706482956650399;8;1.0;0.9994783515910276;0.9984358706986444;0.9993047407632241;0.0006502464443003163
