Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_C;param_kernel;param_probability;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'C': 1, 'kernel': 'rbf', 'probability': True, 'random_state': 17};34.104761282602944;0.7893723954259441;4.949184894561768;0.05082200684517908;1;rbf;True;17;{'C': 1, 'kernel': 'rbf', 'probability': True, 'random_state': 17};0.8938605619146722;0.9456635318704284;0.9623430962343096;0.9338900487125957;0.029176095414436193;5;0.9994772608468374;0.9989567031820553;0.9979144942648592;0.9987828194312506;0.000649736621784738
{'C': 1, 'kernel': 'rbf', 'probability': True, 'random_state': 42};33.32376996676127;0.6476758081831081;4.8407087326049805;0.11864208110919544;1;rbf;True;42;{'C': 1, 'kernel': 'rbf', 'probability': True, 'random_state': 42};0.8938605619146722;0.9456635318704284;0.9623430962343096;0.9338900487125957;0.029176095414436193;5;0.9994772608468374;0.9989567031820553;0.9979144942648592;0.9987828194312506;0.000649736621784738
{'C': 5, 'kernel': 'rbf', 'probability': True, 'random_state': 17};30.86478654543559;1.7106563218962016;4.463691870371501;0.33104604760052925;5;rbf;True;17;{'C': 5, 'kernel': 'rbf', 'probability': True, 'random_state': 17};0.9136316337148803;0.9320794148380356;0.9612970711297071;0.9356297842727905;0.019625325690064234;3;1.0;1.0;1.0;1.0;0.0
{'C': 5, 'kernel': 'rbf', 'probability': True, 'random_state': 42};29.295838673909504;0.34902497006488475;4.198699712753296;0.12333411083172063;5;rbf;True;42;{'C': 5, 'kernel': 'rbf', 'probability': True, 'random_state': 42};0.9136316337148803;0.9320794148380356;0.9612970711297071;0.9356297842727905;0.019625325690064234;3;1.0;1.0;1.0;1.0;0.0
{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 17};30.27457618713379;1.2137457524403263;4.25148884455363;0.163592602436643;10;rbf;True;17;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 17};0.9125910509885536;0.9320794148380356;0.9633891213389121;0.9359777313848295;0.020925631983681012;1;1.0;1.0;1.0;1.0;0.0
{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};29.284837007522583;0.3225644001313673;4.443910042444865;0.4293365287610252;10;rbf;True;42;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};0.9125910509885536;0.9320794148380356;0.9633891213389121;0.9359777313848295;0.020925631983681012;1;1.0;1.0;1.0;1.0;0.0
