Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_alpha;param_max_iter;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'alpha': 0.0001, 'max_iter': 1000, 'random_state': 17};17.038338979085285;1.3213935843426992;0.03833436965942383;0.004669766265307665;0.0001;1000;17;{'alpha': 0.0001, 'max_iter': 1000, 'random_state': 17};0.8709677419354839;0.9320794148380356;0.9633891213389121;0.9220598469032707;0.03839881775446078;5;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.0001, 'max_iter': 1000, 'random_state': 42};18.25704598426819;1.0337171252048383;0.03817613919576009;0.0011517881274447968;0.0001;1000;42;{'alpha': 0.0001, 'max_iter': 1000, 'random_state': 42};0.8938605619146722;0.9373040752351097;0.9644351464435147;0.9318023660403618;0.029080354058130645;1;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.0001, 'max_iter': 2000, 'random_state': 17};17.037614583969116;1.3622781049418196;0.037119150161743164;0.004114028073195568;0.0001;2000;17;{'alpha': 0.0001, 'max_iter': 2000, 'random_state': 17};0.8709677419354839;0.9320794148380356;0.9633891213389121;0.9220598469032707;0.03839881775446078;5;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.0001, 'max_iter': 2000, 'random_state': 42};18.227296193440754;0.9690174224492786;0.04244867960611979;0.0047242125938762956;0.0001;2000;42;{'alpha': 0.0001, 'max_iter': 2000, 'random_state': 42};0.8938605619146722;0.9373040752351097;0.9644351464435147;0.9318023660403618;0.029080354058130645;1;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.001, 'max_iter': 1000, 'random_state': 17};16.776694774627686;0.24835753716055264;0.039951324462890625;0.0014446205298847177;0.001;1000;17;{'alpha': 0.001, 'max_iter': 1000, 'random_state': 17};0.8720083246618107;0.9299895506792059;0.9633891213389121;0.9217118997912317;0.03777121536632133;7;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.001, 'max_iter': 1000, 'random_state': 42};18.367085933685303;1.0459512647646128;0.04010923703511556;0.0014197314951863702;0.001;1000;42;{'alpha': 0.001, 'max_iter': 1000, 'random_state': 42};0.8938605619146722;0.9362591431556949;0.9644351464435147;0.9314544189283229;0.029018630195127872;3;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.001, 'max_iter': 2000, 'random_state': 17};16.792340675989788;0.24280179738953772;0.03994011878967285;0.0015490907342066652;0.001;2000;17;{'alpha': 0.001, 'max_iter': 2000, 'random_state': 17};0.8720083246618107;0.9299895506792059;0.9633891213389121;0.9217118997912317;0.03777121536632133;7;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.001, 'max_iter': 2000, 'random_state': 42};18.286275068918865;1.0522854368009453;0.03810040156046549;0.004254527681902218;0.001;2000;42;{'alpha': 0.001, 'max_iter': 2000, 'random_state': 42};0.8938605619146722;0.9362591431556949;0.9644351464435147;0.9314544189283229;0.029018630195127872;3;1.0;1.0;1.0;1.0;0.0
