Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_alpha;param_max_iter;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'alpha': 0.0001, 'max_iter': 1000, 'random_state': 17};1.0986214478810628;0.05492714738182661;0.0020062923431396484;1.215700987241932e-06;0.0001;1000;17;{'alpha': 0.0001, 'max_iter': 1000, 'random_state': 17};0.8214285714285714;0.72;0.75;0.7662337662337663;0.04340461030407377;1;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.0001, 'max_iter': 1000, 'random_state': 42};1.456411361694336;0.08174252842643895;0.0018467903137207031;0.00024256541104907892;0.0001;1000;42;{'alpha': 0.0001, 'max_iter': 1000, 'random_state': 42};0.6428571428571429;0.76;0.7083333333333334;0.7012987012987013;0.048746011220815205;7;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.0001, 'max_iter': 2000, 'random_state': 17};1.0337316195170085;0.10283089403999077;0.0013464291890462239;0.00022276022838879243;0.0001;2000;17;{'alpha': 0.0001, 'max_iter': 2000, 'random_state': 17};0.8214285714285714;0.72;0.75;0.7662337662337663;0.04340461030407377;1;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.0001, 'max_iter': 2000, 'random_state': 42};1.262870152791341;0.07559151058635054;0.0016798973083496094;0.00022985653167765274;0.0001;2000;42;{'alpha': 0.0001, 'max_iter': 2000, 'random_state': 42};0.6428571428571429;0.76;0.7083333333333334;0.7012987012987013;0.048746011220815205;7;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.001, 'max_iter': 1000, 'random_state': 17};1.0663526852925618;0.0964506984080042;0.0015136400858561199;0.0003982494509182262;0.001;1000;17;{'alpha': 0.001, 'max_iter': 1000, 'random_state': 17};0.8214285714285714;0.72;0.7083333333333334;0.7532467532467533;0.0517501642148246;3;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.001, 'max_iter': 1000, 'random_state': 42};1.2043991088867188;0.09083560976286131;0.0020302136739095054;9.722360291107029e-06;0.001;1000;42;{'alpha': 0.001, 'max_iter': 1000, 'random_state': 42};0.6428571428571429;0.76;0.75;0.7142857142857143;0.05414198333941772;5;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.001, 'max_iter': 2000, 'random_state': 17};1.0426673889160156;0.08387587617100162;0.001689592997233073;0.00024273418318821848;0.001;2000;17;{'alpha': 0.001, 'max_iter': 2000, 'random_state': 17};0.8214285714285714;0.72;0.7083333333333334;0.7532467532467533;0.0517501642148246;3;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.001, 'max_iter': 2000, 'random_state': 42};1.2134865125020344;0.08847764399466244;0.0018592675526936848;0.0002512695304184255;0.001;2000;42;{'alpha': 0.001, 'max_iter': 2000, 'random_state': 42};0.6428571428571429;0.76;0.75;0.7142857142857143;0.05414198333941772;5;1.0;1.0;1.0;1.0;0.0
