Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_C;param_kernel;param_probability;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'C': 1, 'kernel': 'linear', 'probability': True, 'random_state': 17};0.13421479860941568;0.007218539094001555;0.007351875305175781;0.0004732250653287291;1;linear;True;17;{'C': 1, 'kernel': 'linear', 'probability': True, 'random_state': 17};0.6785714285714286;0.76;0.75;0.7272727272727273;0.03703007124515129;1;1.0;1.0;1.0;1.0;0.0
{'C': 1, 'kernel': 'linear', 'probability': True, 'random_state': 42};0.13257233301798502;0.011651731378341796;0.008021275202433268;8.778064264605253e-07;1;linear;True;42;{'C': 1, 'kernel': 'linear', 'probability': True, 'random_state': 42};0.6785714285714286;0.76;0.75;0.7272727272727273;0.03703007124515129;1;1.0;1.0;1.0;1.0;0.0
{'C': 5, 'kernel': 'linear', 'probability': True, 'random_state': 17};0.1339405377705892;0.005789339132426748;0.008681138356526693;0.00048541965455440125;5;linear;True;17;{'C': 5, 'kernel': 'linear', 'probability': True, 'random_state': 17};0.6785714285714286;0.76;0.75;0.7272727272727273;0.03703007124515129;1;1.0;1.0;1.0;1.0;0.0
{'C': 5, 'kernel': 'linear', 'probability': True, 'random_state': 42};0.13405577341715494;0.007892782884451555;0.008356889088948568;0.0004740116461924387;5;linear;True;42;{'C': 5, 'kernel': 'linear', 'probability': True, 'random_state': 42};0.6785714285714286;0.76;0.75;0.7272727272727273;0.03703007124515129;1;1.0;1.0;1.0;1.0;0.0
{'C': 10, 'kernel': 'linear', 'probability': True, 'random_state': 17};0.1327176888783773;0.005916783177118174;0.007854143778483072;0.0010301770469111258;10;linear;True;17;{'C': 10, 'kernel': 'linear', 'probability': True, 'random_state': 17};0.6785714285714286;0.76;0.75;0.7272727272727273;0.03703007124515129;1;1.0;1.0;1.0;1.0;0.0
{'C': 10, 'kernel': 'linear', 'probability': True, 'random_state': 42};0.1360339323679606;0.011876578403061902;0.007028261820475261;1.2387573094939369e-05;10;linear;True;42;{'C': 10, 'kernel': 'linear', 'probability': True, 'random_state': 42};0.6785714285714286;0.76;0.75;0.7272727272727273;0.03703007124515129;1;1.0;1.0;1.0;1.0;0.0
