Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_algorithm;param_n_neighbors;param_weights;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'uniform'};0.002662022908528646;0.00046458988201578333;0.010229746500651041;0.0008677835699872648;auto;2;uniform;{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'uniform'};0.6428571428571429;0.64;0.5416666666666666;0.6103896103896104;0.04626063230312644;7;0.8367346938775511;0.8269230769230769;0.9245283018867925;0.8627286908958068;0.04388212161228609
{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'distance'};0.002547184626261393;0.00039673488359149743;0.009688218434651693;0.00046823957575697954;auto;2;distance;{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'distance'};0.75;0.64;0.75;0.7142857142857143;0.05150787536377127;1;1.0;1.0;1.0;1.0;0.0
{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'};0.0032024383544921875;0.0002157816786469958;0.0117189089457194;0.001338445596671015;auto;5;uniform;{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'};0.6785714285714286;0.64;0.375;0.5714285714285714;0.1331438046897892;9;0.7959183673469388;0.6923076923076923;0.7735849056603774;0.7539369884383361;0.044522080543592614
{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'};0.0028466383616129556;0.00022770537355485684;0.00952299435933431;1.1625333814961426e-05;auto;5;distance;{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'};0.7142857142857143;0.68;0.5;0.6363636363636364;0.09285487237256873;3;1.0;1.0;1.0;1.0;0.0
{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'uniform'};0.0033426284790039062;0.00047238251988894215;0.011678139368693033;0.0016255759220165362;auto;10;uniform;{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'uniform'};0.42857142857142855;0.6;0.4166666666666667;0.4805194805194805;0.08298826628866152;11;0.5918367346938775;0.6730769230769231;0.6981132075471698;0.6543422884393234;0.04536453880721814
{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'distance'};0.0026859442392985025;0.00026786454393366404;0.009541988372802734;0.0008415422279763255;auto;10;distance;{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'distance'};0.6785714285714286;0.68;0.5416666666666666;0.6363636363636364;0.06372685499948227;3;1.0;1.0;1.0;1.0;0.0
{'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'uniform'};0.0016894340515136719;0.0004464194618713438;0.01187435785929362;0.010419733380013604;brute;2;uniform;{'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'uniform'};0.6428571428571429;0.64;0.5416666666666666;0.6103896103896104;0.04626063230312644;7;0.8367346938775511;0.8269230769230769;0.9245283018867925;0.8627286908958068;0.04388212161228609
{'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'distance'};0.0016729036966959636;0.0004739639156778209;0.00400543212890625;7.587057104023376e-06;brute;2;distance;{'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'distance'};0.75;0.64;0.75;0.7142857142857143;0.05150787536377127;1;1.0;1.0;1.0;1.0;0.0
{'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'uniform'};0.0016714731852213542;0.0002360785675241707;0.0033485889434814453;0.0002420710692642072;brute;5;uniform;{'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'uniform'};0.6785714285714286;0.64;0.375;0.5714285714285714;0.1331438046897892;9;0.7959183673469388;0.6923076923076923;0.7735849056603774;0.7539369884383361;0.044522080543592614
{'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'distance'};0.00200502077738444;8.104673248279548e-07;0.0036765734354654946;0.0004726631076461089;brute;5;distance;{'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'distance'};0.7142857142857143;0.68;0.5;0.6363636363636364;0.09285487237256873;3;1.0;1.0;1.0;1.0;0.0
{'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'uniform'};0.001337289810180664;0.00047255047552836746;0.00434422492980957;0.0004727190528981875;brute;10;uniform;{'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'uniform'};0.42857142857142855;0.6;0.4166666666666667;0.4805194805194805;0.08298826628866152;11;0.5918367346938775;0.6730769230769231;0.6981132075471698;0.6543422884393234;0.04536453880721814
{'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'distance'};0.0011696020762125652;0.00023489916167401833;0.0035092035929361978;0.00040967889945052623;brute;10;distance;{'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'distance'};0.6785714285714286;0.68;0.5416666666666666;0.6363636363636364;0.06372685499948227;3;1.0;1.0;1.0;1.0;0.0
