Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_C;param_kernel;param_probability;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'C': 1, 'kernel': 'rbf', 'probability': True, 'random_state': 17};0.17230931917826334;0.014359125104992343;0.009027481079101562;0.0014235519686141883;1;rbf;True;17;{'C': 1, 'kernel': 'rbf', 'probability': True, 'random_state': 17};0.5714285714285714;0.68;0.6666666666666666;0.6363636363636364;0.04937342832686843;5;0.8367346938775511;0.8846153846153846;0.9622641509433962;0.8945380764787773;0.05172527433903949
{'C': 1, 'kernel': 'rbf', 'probability': True, 'random_state': 42};0.15651345252990723;0.014264155855725756;0.008698701858520508;0.0009390996612437041;1;rbf;True;42;{'C': 1, 'kernel': 'rbf', 'probability': True, 'random_state': 42};0.5714285714285714;0.68;0.6666666666666666;0.6363636363636364;0.04937342832686843;5;0.8367346938775511;0.8846153846153846;0.9622641509433962;0.8945380764787773;0.05172527433903949
{'C': 5, 'kernel': 'rbf', 'probability': True, 'random_state': 17};0.16681408882141113;0.014857601356903047;0.008188327153523764;0.0006252637227722039;5;rbf;True;17;{'C': 5, 'kernel': 'rbf', 'probability': True, 'random_state': 17};0.7142857142857143;0.76;0.7916666666666666;0.7532467532467533;0.0320448679095591;1;1.0;1.0;1.0;1.0;0.0
{'C': 5, 'kernel': 'rbf', 'probability': True, 'random_state': 42};0.16127514839172363;0.01549810825200752;0.008373419443766275;0.0009642272515575959;5;rbf;True;42;{'C': 5, 'kernel': 'rbf', 'probability': True, 'random_state': 42};0.7142857142857143;0.76;0.7916666666666666;0.7532467532467533;0.0320448679095591;1;1.0;1.0;1.0;1.0;0.0
{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 17};0.16427906354268393;0.014845596877209703;0.008518060048421225;0.0008347434608724857;10;rbf;True;17;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 17};0.7142857142857143;0.76;0.7916666666666666;0.7532467532467533;0.0320448679095591;1;1.0;1.0;1.0;1.0;0.0
{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};0.15925494829813638;0.012644955761386831;0.008355379104614258;0.0006252848339957148;10;rbf;True;42;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};0.7142857142857143;0.76;0.7916666666666666;0.7532467532467533;0.0320448679095591;1;1.0;1.0;1.0;1.0;0.0
