Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_reg_param;param_tol;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'reg_param': 0.0, 'tol': 0.01};13.795596043268839;2.9360696338781733;0.2035362720489502;0.009937507783051776;0.0;0.01;{'reg_param': 0.0, 'tol': 0.01};0.6836313617606602;0.662534435261708;0.6763085399449036;0.6741624598439652;0.008746329672552539;4;0.9986225895316805;0.9986235375086029;0.9993117687543015;0.9988526319315283;0.0003246589915431981
{'reg_param': 0.0, 'tol': 0.0001};19.193419535954792;3.1826037519270307;0.3875402609507243;0.19068195525275597;0.0;0.0001;{'reg_param': 0.0, 'tol': 0.0001};0.6836313617606602;0.662534435261708;0.6763085399449036;0.6741624598439652;0.008746329672552539;4;0.9986225895316805;0.9986235375086029;0.9993117687543015;0.9988526319315283;0.0003246589915431981
{'reg_param': 0.0, 'tol': 1e-06};19.262038866678875;2.8906327927273705;0.45508678754170734;0.21604184932204523;0.0;1e-06;{'reg_param': 0.0, 'tol': 1e-06};0.6836313617606602;0.662534435261708;0.6763085399449036;0.6741624598439652;0.008746329672552539;4;0.9986225895316805;0.9986235375086029;0.9993117687543015;0.9988526319315283;0.0003246589915431981
{'reg_param': 0.5, 'tol': 0.01};18.733790000279743;3.2616578627220676;0.32004936536153156;0.09738542834250749;0.5;0.01;{'reg_param': 0.5, 'tol': 0.01};0.9821182943603851;0.9889807162534435;0.977961432506887;0.9830197338228546;0.004542576847581781;1;0.9896694214876033;0.9896765313145217;0.9862353750860289;0.9885271092960514;0.0016205034000684273
{'reg_param': 0.5, 'tol': 0.0001};15.806564807891846;2.4031670459417094;0.32486240069071454;0.12796574637148947;0.5;0.0001;{'reg_param': 0.5, 'tol': 0.0001};0.9821182943603851;0.9889807162534435;0.977961432506887;0.9830197338228546;0.004542576847581781;1;0.9896694214876033;0.9896765313145217;0.9862353750860289;0.9885271092960514;0.0016205034000684273
{'reg_param': 0.5, 'tol': 1e-06};11.97610338528951;3.320360337183072;0.19402003288269043;0.016079617149062905;0.5;1e-06;{'reg_param': 0.5, 'tol': 1e-06};0.9821182943603851;0.9889807162534435;0.977961432506887;0.9830197338228546;0.004542576847581781;1;0.9896694214876033;0.9896765313145217;0.9862353750860289;0.9885271092960514;0.0016205034000684273
