Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_min_samples_split;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'max_depth': None, 'min_samples_split': 2, 'random_state': 17};0.02775287628173828;0.0020645660239159576;0.0010039806365966797;1.4697108275816383e-06;;2;17;{'max_depth': None, 'min_samples_split': 2, 'random_state': 17};0.42857142857142855;0.6;0.4166666666666667;0.4805194805194805;0.08298826628866152;3;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'min_samples_split': 2, 'random_state': 42};0.025920629501342773;0.001528960570688036;0.0;0.0;;2;42;{'max_depth': None, 'min_samples_split': 2, 'random_state': 42};0.5;0.6;0.3333333333333333;0.4805194805194805;0.10735581617001944;3;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'min_samples_split': 5, 'random_state': 17};0.030900239944458008;0.0016241953246001447;0.0006726582845052084;0.00047566816299900167;;5;17;{'max_depth': None, 'min_samples_split': 5, 'random_state': 17};0.42857142857142855;0.56;0.4583333333333333;0.4805194805194805;0.05644248081276282;3;0.9795918367346939;0.9807692307692307;0.9811320754716981;0.9804977143252076;0.0006574570841625877
{'max_depth': None, 'min_samples_split': 5, 'random_state': 42};0.026773929595947266;0.0011727208795308075;0.0003350575764973958;0.000473842968858478;;5;42;{'max_depth': None, 'min_samples_split': 5, 'random_state': 42};0.5357142857142857;0.56;0.375;0.4935064935064935;0.0803779652938114;1;0.9795918367346939;0.9807692307692307;0.9811320754716981;0.9804977143252076;0.0006574570841625877
{'max_depth': None, 'min_samples_split': 10, 'random_state': 17};0.024397611618041992;0.003098016729296259;0.0001675287882486979;0.000236921484429239;;10;17;{'max_depth': None, 'min_samples_split': 10, 'random_state': 17};0.35714285714285715;0.64;0.4166666666666667;0.4675324675324675;0.1220456805540507;15;0.8571428571428571;0.9615384615384616;0.9433962264150944;0.9206925150321377;0.04554268647617921
{'max_depth': None, 'min_samples_split': 10, 'random_state': 42};0.023247321446736652;0.002232456367631149;0.00033513704935709637;0.00047395536045450703;;10;42;{'max_depth': None, 'min_samples_split': 10, 'random_state': 42};0.4642857142857143;0.6;0.375;0.4805194805194805;0.09056055637000877;3;0.8571428571428571;0.9615384615384616;0.9433962264150944;0.9206925150321377;0.04554268647617921
{'max_depth': 5, 'min_samples_split': 2, 'random_state': 17};0.02540906270345052;0.0015398410479875698;0.0005010763804117838;2.247831920581015e-07;5;2;17;{'max_depth': 5, 'min_samples_split': 2, 'random_state': 17};0.42857142857142855;0.64;0.3333333333333333;0.4675324675324675;0.125788679644426;15;0.8979591836734694;0.9615384615384616;0.8867924528301887;0.9154300326807064;0.03292075716251132
{'max_depth': 5, 'min_samples_split': 2, 'random_state': 42};0.025409619013468426;0.0011933178700775486;0.0005036195119222006;3.505825201688254e-06;5;2;42;{'max_depth': 5, 'min_samples_split': 2, 'random_state': 42};0.5;0.6;0.3333333333333333;0.4805194805194805;0.10735581617001944;3;0.8979591836734694;0.9615384615384616;0.8867924528301887;0.9154300326807064;0.03292075716251132
{'max_depth': 5, 'min_samples_split': 5, 'random_state': 17};0.02640374501546224;0.0013184588142716909;0.0006566842397054037;0.00021725374006145744;5;5;17;{'max_depth': 5, 'min_samples_split': 5, 'random_state': 17};0.4642857142857143;0.64;0.3333333333333333;0.4805194805194805;0.12290637198618892;3;0.8775510204081632;0.9615384615384616;0.8867924528301887;0.9086273115922712;0.037603575714497316
{'max_depth': 5, 'min_samples_split': 5, 'random_state': 42};0.023893992106119793;0.0016763197166065054;0.0005124409993489584;1.7672305313459735e-05;5;5;42;{'max_depth': 5, 'min_samples_split': 5, 'random_state': 42};0.5;0.6;0.3333333333333333;0.4805194805194805;0.10735581617001944;3;0.8775510204081632;0.9615384615384616;0.8867924528301887;0.9086273115922712;0.037603575714497316
{'max_depth': 5, 'min_samples_split': 10, 'random_state': 17};0.023877461751302082;0.001703893504474588;0.00037137667338053387;0.0002626051467657788;5;10;17;{'max_depth': 5, 'min_samples_split': 10, 'random_state': 17};0.35714285714285715;0.64;0.4166666666666667;0.4675324675324675;0.1220456805540507;15;0.8571428571428571;0.9615384615384616;0.8679245283018868;0.8955352823277352;0.046878394865067737
{'max_depth': 5, 'min_samples_split': 10, 'random_state': 42};0.02322848637898763;0.0019365752106309437;0.00048724810282389325;3.042700193989791e-05;5;10;42;{'max_depth': 5, 'min_samples_split': 10, 'random_state': 42};0.4642857142857143;0.6;0.375;0.4805194805194805;0.09056055637000877;3;0.8571428571428571;0.9615384615384616;0.8679245283018868;0.8955352823277352;0.046878394865067737
{'max_depth': 10, 'min_samples_split': 2, 'random_state': 17};0.026088714599609375;0.002152019055680755;0.0003154277801513672;0.00022403896730419995;10;2;17;{'max_depth': 10, 'min_samples_split': 2, 'random_state': 17};0.42857142857142855;0.6;0.4166666666666667;0.4805194805194805;0.08298826628866152;3;1.0;1.0;1.0;1.0;0.0
{'max_depth': 10, 'min_samples_split': 2, 'random_state': 42};0.025718212127685547;0.0020273740191089347;0.0005184014638264974;2.6752033106446896e-05;10;2;42;{'max_depth': 10, 'min_samples_split': 2, 'random_state': 42};0.5;0.6;0.3333333333333333;0.4805194805194805;0.10735581617001944;3;1.0;1.0;1.0;1.0;0.0
{'max_depth': 10, 'min_samples_split': 5, 'random_state': 17};0.028884172439575195;0.005754580777625308;0.00033402442932128906;0.00023619432842754217;10;5;17;{'max_depth': 10, 'min_samples_split': 5, 'random_state': 17};0.42857142857142855;0.56;0.4583333333333333;0.4805194805194805;0.05644248081276282;3;0.9795918367346939;0.9807692307692307;0.9811320754716981;0.9804977143252076;0.0006574570841625877
{'max_depth': 10, 'min_samples_split': 5, 'random_state': 42};0.025066216786702473;0.0014757138408406007;0.0003345012664794922;0.0002365281338701493;10;5;42;{'max_depth': 10, 'min_samples_split': 5, 'random_state': 42};0.5357142857142857;0.56;0.375;0.4935064935064935;0.0803779652938114;1;0.9795918367346939;0.9807692307692307;0.9811320754716981;0.9804977143252076;0.0006574570841625877
{'max_depth': 10, 'min_samples_split': 10, 'random_state': 17};0.023395061492919922;0.0018458326462531909;0.0005016326904296875;1.9466795466607238e-07;10;10;17;{'max_depth': 10, 'min_samples_split': 10, 'random_state': 17};0.35714285714285715;0.64;0.4166666666666667;0.4675324675324675;0.1220456805540507;15;0.8571428571428571;0.9615384615384616;0.9433962264150944;0.9206925150321377;0.04554268647617921
{'max_depth': 10, 'min_samples_split': 10, 'random_state': 42};0.025086720784505207;0.003678074439790143;0.0005017916361490885;1.1239159602905075e-07;10;10;42;{'max_depth': 10, 'min_samples_split': 10, 'random_state': 42};0.4642857142857143;0.6;0.375;0.4805194805194805;0.09056055637000877;3;0.8571428571428571;0.9615384615384616;0.9433962264150944;0.9206925150321377;0.04554268647617921
