Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_C;param_kernel;param_probability;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'C': 1, 'kernel': 'linear', 'probability': True, 'random_state': 17};0.449767271677653;0.004695319301693411;0.029431581497192383;0.0018965777920591756;1;linear;True;17;{'C': 1, 'kernel': 'linear', 'probability': True, 'random_state': 17};0.7884615384615384;0.84;0.9583333333333334;0.86;0.07072276438113408;1;1.0;1.0;1.0;1.0;0.0
{'C': 1, 'kernel': 'linear', 'probability': True, 'random_state': 42};0.5428276856740316;0.13964356253230897;0.03184866905212402;0.003715338598131492;1;linear;True;42;{'C': 1, 'kernel': 'linear', 'probability': True, 'random_state': 42};0.7884615384615384;0.84;0.9583333333333334;0.86;0.07072276438113408;1;1.0;1.0;1.0;1.0;0.0
{'C': 5, 'kernel': 'linear', 'probability': True, 'random_state': 17};0.44422634442647296;0.018449810841752134;0.028411388397216797;0.0010099016077690626;5;linear;True;17;{'C': 5, 'kernel': 'linear', 'probability': True, 'random_state': 17};0.7884615384615384;0.84;0.9583333333333334;0.86;0.07072276438113408;1;1.0;1.0;1.0;1.0;0.0
{'C': 5, 'kernel': 'linear', 'probability': True, 'random_state': 42};0.43887853622436523;0.018757731682345864;0.03439664840698242;0.003895393362734401;5;linear;True;42;{'C': 5, 'kernel': 'linear', 'probability': True, 'random_state': 42};0.7884615384615384;0.84;0.9583333333333334;0.86;0.07072276438113408;1;1.0;1.0;1.0;1.0;0.0
{'C': 10, 'kernel': 'linear', 'probability': True, 'random_state': 17};0.4288370609283447;0.020849046392317806;0.03606851895650228;0.008564689646171995;10;linear;True;17;{'C': 10, 'kernel': 'linear', 'probability': True, 'random_state': 17};0.7884615384615384;0.84;0.9583333333333334;0.86;0.07072276438113408;1;1.0;1.0;1.0;1.0;0.0
{'C': 10, 'kernel': 'linear', 'probability': True, 'random_state': 42};0.4403188228607178;0.015686946029717947;0.029448986053466797;0.0012244510824320903;10;linear;True;42;{'C': 10, 'kernel': 'linear', 'probability': True, 'random_state': 42};0.7884615384615384;0.84;0.9583333333333334;0.86;0.07072276438113408;1;1.0;1.0;1.0;1.0;0.0
