Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_algorithm;param_n_neighbors;param_weights;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'uniform'};0.009196201960245768;0.0018564588298997247;0.039764086405436196;0.0010342122786593387;auto;2;uniform;{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'uniform'};0.6923076923076923;0.66;0.7083333333333334;0.6866666666666666;0.019957219202348764;5;0.8571428571428571;0.8;0.7254901960784313;0.7942110177404295;0.05390262843336033
{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'distance'};0.011081218719482422;0.0020467389031317623;0.041576782862345375;0.003567028662758956;auto;2;distance;{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'distance'};0.8269230769230769;0.8;0.9166666666666666;0.8466666666666667;0.049285493089344524;1;1.0;1.0;1.0;1.0;0.0
{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'};0.00903479258219401;0.0010715824525970022;0.04247887929280599;0.0022393119645226795;auto;5;uniform;{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'};0.5961538461538461;0.5;0.7708333333333334;0.62;0.11080320585321722;9;0.7551020408163265;0.78;0.7254901960784313;0.753530745631586;0.022281253814363883
{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'};0.0104063351949056;0.0006348063300534031;0.04560359319051107;0.003907037360352506;auto;5;distance;{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'};0.6923076923076923;0.66;0.8541666666666666;0.7333333333333333;0.08395409816257092;3;1.0;1.0;1.0;1.0;0.0
{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'uniform'};0.010389089584350586;0.0015289923945696312;0.04428672790527344;0.007461384790243857;auto;10;uniform;{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'uniform'};0.5384615384615384;0.48;0.7083333333333334;0.5733333333333334;0.0956935993536922;11;0.6326530612244898;0.75;0.6372549019607843;0.6733026543950914;0.054265743348019306
{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'distance'};0.009879827499389648;0.002239705942510683;0.04168597857157389;0.0011660213721273512;auto;10;distance;{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'distance'};0.5961538461538461;0.56;0.8333333333333334;0.66;0.11983607036566145;7;1.0;1.0;1.0;1.0;0.0
{'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'uniform'};0.002218008041381836;0.0002438748205402728;0.009175936381022135;0.0009992231274474053;brute;2;uniform;{'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'uniform'};0.6923076923076923;0.66;0.7083333333333334;0.6866666666666666;0.019957219202348764;5;0.8571428571428571;0.8;0.7254901960784313;0.7942110177404295;0.05390262843336033
{'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'distance'};0.0025227864583333335;0.00038931675028953586;0.007169882456461589;0.0013250044458913875;brute;2;distance;{'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'distance'};0.8269230769230769;0.8;0.9166666666666666;0.8466666666666667;0.049285493089344524;1;1.0;1.0;1.0;1.0;0.0
{'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'uniform'};0.0028313000996907554;0.000839182017961901;0.010712544123331705;0.0009467669587650436;brute;5;uniform;{'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'uniform'};0.5961538461538461;0.5;0.7708333333333334;0.62;0.11080320585321722;9;0.7551020408163265;0.78;0.7254901960784313;0.753530745631586;0.022281253814363883
{'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'distance'};0.0035167535146077475;0.001094945907011148;0.009525458017985025;0.0021457008186712275;brute;5;distance;{'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'distance'};0.6923076923076923;0.66;0.8541666666666666;0.7333333333333333;0.08395409816257092;3;1.0;1.0;1.0;1.0;0.0
{'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'uniform'};0.0023396809895833335;0.00047283148456728213;0.008188724517822266;0.0011809546992863713;brute;10;uniform;{'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'uniform'};0.5384615384615384;0.48;0.7083333333333334;0.5733333333333334;0.0956935993536922;11;0.6326530612244898;0.75;0.6372549019607843;0.6733026543950914;0.054265743348019306
{'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'distance'};0.002339601516723633;0.0004730563879023501;0.006683826446533203;0.0012504421932706888;brute;10;distance;{'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'distance'};0.5961538461538461;0.56;0.8333333333333334;0.66;0.11983607036566145;7;1.0;1.0;1.0;1.0;0.0
