Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_C;param_kernel;param_probability;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'C': 1, 'kernel': 'rbf', 'probability': True, 'random_state': 17};0.5657917658487955;0.040213968642148726;0.03224865595499674;0.0011832618615847856;1;rbf;True;17;{'C': 1, 'kernel': 'rbf', 'probability': True, 'random_state': 17};0.8269230769230769;0.68;0.9375;0.8133333333333334;0.10451556952676605;5;0.9897959183673469;0.96;0.9803921568627451;0.9767293584100307;0.012436807125552934
{'C': 1, 'kernel': 'rbf', 'probability': True, 'random_state': 42};0.6733755270640055;0.06585034940334242;0.055647850036621094;0.008210232816923287;1;rbf;True;42;{'C': 1, 'kernel': 'rbf', 'probability': True, 'random_state': 42};0.8269230769230769;0.68;0.9375;0.8133333333333334;0.10451556952676605;5;0.9897959183673469;0.96;0.9803921568627451;0.9767293584100307;0.012436807125552934
{'C': 5, 'kernel': 'rbf', 'probability': True, 'random_state': 17};0.5830658276875814;0.03032247514959296;0.0339354674021403;0.003660966864103507;5;rbf;True;17;{'C': 5, 'kernel': 'rbf', 'probability': True, 'random_state': 17};0.8461538461538461;0.8;0.9375;0.86;0.05646646383882682;1;1.0;1.0;1.0;1.0;0.0
{'C': 5, 'kernel': 'rbf', 'probability': True, 'random_state': 42};0.5486613909403483;0.016837082392966954;0.030380964279174805;0.0008453955922966504;5;rbf;True;42;{'C': 5, 'kernel': 'rbf', 'probability': True, 'random_state': 42};0.8461538461538461;0.8;0.9375;0.86;0.05646646383882682;1;1.0;1.0;1.0;1.0;0.0
{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 17};0.5785864988962809;0.03058708092079391;0.03367328643798828;0.0021700490777836995;10;rbf;True;17;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 17};0.8461538461538461;0.8;0.9375;0.86;0.05646646383882682;1;1.0;1.0;1.0;1.0;0.0
{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};0.5745449860890707;0.040726749046506756;0.039115349451700844;0.013115740698420858;10;rbf;True;42;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};0.8461538461538461;0.8;0.9375;0.86;0.05646646383882682;1;1.0;1.0;1.0;1.0;0.0
