Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_alpha;param_max_iter;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'alpha': 0.0001, 'max_iter': 1000, 'random_state': 17};2.2415111859639487;0.13196525615091975;0.002673625946044922;0.0004717078900507154;0.0001;1000;17;{'alpha': 0.0001, 'max_iter': 1000, 'random_state': 17};0.8461538461538461;0.76;0.9583333333333334;0.8533333333333334;0.08030923140942549;5;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.0001, 'max_iter': 1000, 'random_state': 42};3.1476794878641763;0.4858344223137631;0.0030083656311035156;1.9466795466607238e-07;0.0001;1000;42;{'alpha': 0.0001, 'max_iter': 1000, 'random_state': 42};0.9038461538461539;0.78;0.9375;0.8733333333333333;0.0674093249782038;1;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.0001, 'max_iter': 2000, 'random_state': 17};2.360330899556478;0.06976585765732936;0.005006154378255208;0.002132925374140686;0.0001;2000;17;{'alpha': 0.0001, 'max_iter': 2000, 'random_state': 17};0.8461538461538461;0.76;0.9583333333333334;0.8533333333333334;0.08030923140942549;5;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.0001, 'max_iter': 2000, 'random_state': 42};3.6080607573191323;0.9693942324190971;0.0030082066853841147;2.9736021254650284e-07;0.0001;2000;42;{'alpha': 0.0001, 'max_iter': 2000, 'random_state': 42};0.9038461538461539;0.78;0.9375;0.8733333333333333;0.0674093249782038;1;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.001, 'max_iter': 1000, 'random_state': 17};3.0925188859303794;0.3633445174049864;0.004178047180175781;0.0013162061286287846;0.001;1000;17;{'alpha': 0.001, 'max_iter': 1000, 'random_state': 17};0.8461538461538461;0.76;0.9583333333333334;0.8533333333333334;0.08030923140942549;5;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.001, 'max_iter': 1000, 'random_state': 42};3.7053553263346353;0.3840061793356412;0.006017764409383138;0.002455736906521668;0.001;1000;42;{'alpha': 0.001, 'max_iter': 1000, 'random_state': 42};0.9038461538461539;0.78;0.9375;0.8733333333333333;0.0674093249782038;1;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.001, 'max_iter': 2000, 'random_state': 17};2.7648184299468994;0.3850589589306495;0.003681023915608724;0.0009426975815229379;0.001;2000;17;{'alpha': 0.001, 'max_iter': 2000, 'random_state': 17};0.8461538461538461;0.76;0.9583333333333334;0.8533333333333334;0.08030923140942549;5;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.001, 'max_iter': 2000, 'random_state': 42};3.375945488611857;0.5226991726706157;0.0031777222951253257;0.0006283223402041083;0.001;2000;42;{'alpha': 0.001, 'max_iter': 2000, 'random_state': 42};0.9038461538461539;0.78;0.9375;0.8733333333333333;0.0674093249782038;1;1.0;1.0;1.0;1.0;0.0
