Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_n_estimators;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'max_depth': None, 'max_features': 1, 'n_estimators': 10, 'random_state': 17};0.009191433588663736;0.0013196077779426816;0.0015106201171875;0.00037349820903881094;;1;10;17;{'max_depth': None, 'max_features': 1, 'n_estimators': 10, 'random_state': 17};0.5961538461538461;0.48;0.625;0.5666666666666667;0.062402060014210226;15;0.9795918367346939;1.0;0.9803921568627451;0.9866613311991462;0.009437520582264242
{'max_depth': None, 'max_features': 1, 'n_estimators': 10, 'random_state': 42};0.011397520701090494;0.0026124464345284584;0.0016662279764811199;0.00046879217778807435;;1;10;42;{'max_depth': None, 'max_features': 1, 'n_estimators': 10, 'random_state': 42};0.5961538461538461;0.46;0.6666666666666666;0.5733333333333334;0.08514442230453294;14;1.0;0.99;1.0;0.9966666666666667;0.004714045207910321
{'max_depth': None, 'max_features': 1, 'n_estimators': 50, 'random_state': 17};0.04834246635437012;0.006424058882613331;0.00603485107421875;0.0008084080621467026;;1;50;17;{'max_depth': None, 'max_features': 1, 'n_estimators': 50, 'random_state': 17};0.7115384615384616;0.7;0.8125;0.74;0.04996152365724895;8;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'max_features': 1, 'n_estimators': 50, 'random_state': 42};0.03731036186218262;0.001190564574610194;0.004699150721232097;0.00022723732461614728;;1;50;42;{'max_depth': None, 'max_features': 1, 'n_estimators': 50, 'random_state': 42};0.7692307692307693;0.68;0.875;0.7733333333333333;0.0788485511413749;5;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'max_features': 1, 'n_estimators': 100, 'random_state': 17};0.07237807909647624;0.0024799766647649875;0.009373346964518229;0.001032366439287938;;1;100;17;{'max_depth': None, 'max_features': 1, 'n_estimators': 100, 'random_state': 17};0.8269230769230769;0.66;0.9166666666666666;0.8;0.10554700820094776;3;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'max_features': 1, 'n_estimators': 100, 'random_state': 42};0.07508198420206706;0.0019256993149263657;0.010193347930908203;0.0014341436342454191;;1;100;42;{'max_depth': None, 'max_features': 1, 'n_estimators': 100, 'random_state': 42};0.8653846153846154;0.7;0.9166666666666666;0.8266666666666667;0.091977329053572;1;1.0;1.0;1.0;1.0;0.0
{'max_depth': 5, 'max_features': 1, 'n_estimators': 10, 'random_state': 17};0.011918147404988607;0.001028694442674647;0.0016709168752034504;0.00023681557379764178;5;1;10;17;{'max_depth': 5, 'max_features': 1, 'n_estimators': 10, 'random_state': 17};0.5961538461538461;0.48;0.5208333333333334;0.5333333333333333;0.048644005964140286;18;0.8673469387755102;0.85;0.803921568627451;0.8404228358009872;0.026764229239487042
{'max_depth': 5, 'max_features': 1, 'n_estimators': 10, 'random_state': 42};0.012417872746785482;0.0012693118743314787;0.0015181700388590496;1.828463086850694e-05;5;1;10;42;{'max_depth': 5, 'max_features': 1, 'n_estimators': 10, 'random_state': 42};0.5961538461538461;0.42;0.6041666666666666;0.54;0.08491574506935542;17;0.8673469387755102;0.89;0.8823529411764706;0.8798999599839936;0.009409326339970915
{'max_depth': 5, 'max_features': 1, 'n_estimators': 50, 'random_state': 17};0.0329587459564209;0.0008589738664977633;0.004522005716959636;1.2375330390816835e-05;5;1;50;17;{'max_depth': 5, 'max_features': 1, 'n_estimators': 50, 'random_state': 17};0.7115384615384616;0.56;0.7083333333333334;0.66;0.07072276438113403;11;0.9693877551020408;0.98;0.9901960784313726;0.9798612778444711;0.008495528738571031
{'max_depth': 5, 'max_features': 1, 'n_estimators': 50, 'random_state': 42};0.031928698221842446;0.0009464405277455922;0.004862785339355469;0.0008772496414577192;5;1;50;42;{'max_depth': 5, 'max_features': 1, 'n_estimators': 50, 'random_state': 42};0.6346153846153846;0.56;0.6458333333333334;0.6133333333333333;0.037988977258704815;12;1.0;0.99;1.0;0.9966666666666667;0.004714045207910321
{'max_depth': 5, 'max_features': 1, 'n_estimators': 100, 'random_state': 17};0.06467477480570476;0.001238651136671574;0.00917506217956543;0.0010087665799614377;5;1;100;17;{'max_depth': 5, 'max_features': 1, 'n_estimators': 100, 'random_state': 17};0.8269230769230769;0.54;0.7708333333333334;0.7133333333333334;0.12468250276492886;9;1.0;0.99;1.0;0.9966666666666667;0.004714045207910321
