Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_reg_param;param_tol;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'reg_param': 0.0, 'tol': 0.01};0.02707250912984212;0.002164876096051421;0.004016876220703125;0.000812159186270524;0.0;0.01;{'reg_param': 0.0, 'tol': 0.01};0.3269230769230769;0.22;0.3333333333333333;0.29333333333333333;0.05192038612844184;1;1.0;1.0;1.0;1.0;0.0
{'reg_param': 0.0, 'tol': 0.0001};0.023403644561767578;0.0020542296784197733;0.0066903432210286455;0.004849511067213963;0.0;0.0001;{'reg_param': 0.0, 'tol': 0.0001};0.3269230769230769;0.22;0.3333333333333333;0.29333333333333333;0.05192038612844184;1;1.0;1.0;1.0;1.0;0.0
{'reg_param': 0.0, 'tol': 1e-06};0.02674110730489095;0.004506471753758883;0.003006458282470703;8.485379419351666e-07;0.0;1e-06;{'reg_param': 0.0, 'tol': 1e-06};0.3269230769230769;0.22;0.3333333333333333;0.29333333333333333;0.05192038612844184;1;1.0;1.0;1.0;1.0;0.0
{'reg_param': 0.5, 'tol': 0.01};0.03476611773173014;0.00705549791263221;0.004178682963053386;0.0010305901759742387;0.5;0.01;{'reg_param': 0.5, 'tol': 0.01};0.15384615384615385;0.18;0.10416666666666667;0.14666666666666667;0.031084390234317225;4;0.07142857142857142;0.12;0.10784313725490197;0.09975723622782447;0.02063705833255823
{'reg_param': 0.5, 'tol': 0.0001};0.03294905026753744;0.0118822061001105;0.006184816360473633;0.0016559379303263374;0.5;0.0001;{'reg_param': 0.5, 'tol': 0.0001};0.15384615384615385;0.18;0.10416666666666667;0.14666666666666667;0.031084390234317225;4;0.07142857142857142;0.12;0.10784313725490197;0.09975723622782447;0.02063705833255823
{'reg_param': 0.5, 'tol': 1e-06};0.027409156163533527;0.005003085814690024;0.003340482711791992;0.0012510830112422988;0.5;1e-06;{'reg_param': 0.5, 'tol': 1e-06};0.15384615384615385;0.18;0.10416666666666667;0.14666666666666667;0.031084390234317225;4;0.07142857142857142;0.12;0.10784313725490197;0.09975723622782447;0.02063705833255823
