Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_min_samples_split;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'max_depth': None, 'min_samples_split': 2, 'random_state': 17};0.0676881472269694;0.002497313957314188;0.0005016326904296875;5.840038639982171e-07;;2;17;{'max_depth': None, 'min_samples_split': 2, 'random_state': 17};0.6346153846153846;0.6;0.5625;0.6;0.02941742027072759;13;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'min_samples_split': 2, 'random_state': 42};0.06525627772013347;0.0055515966142456125;0.0005052884419759115;2.992657086652554e-06;;2;42;{'max_depth': None, 'min_samples_split': 2, 'random_state': 42};0.5576923076923077;0.58;0.75;0.6266666666666667;0.0851042598389472;5;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'min_samples_split': 5, 'random_state': 17};0.06538478533426921;0.012019676215897081;0.0005021890004475912;1.3250773748185687e-06;;5;17;{'max_depth': None, 'min_samples_split': 5, 'random_state': 17};0.5769230769230769;0.6;0.6041666666666666;0.5933333333333334;0.012071722980854719;16;0.9795918367346939;0.98;0.9705882352941176;0.9767266906762705;0.004343740720607629
{'max_depth': None, 'min_samples_split': 5, 'random_state': 42};0.06099661191304525;0.0034797614319987662;0.002170006434122721;0.002016917940122476;;5;42;{'max_depth': None, 'min_samples_split': 5, 'random_state': 42};0.6538461538461539;0.56;0.6666666666666666;0.6266666666666667;0.047429660019576846;5;0.9795918367346939;0.98;0.9607843137254902;0.9734587168200614;0.008963705322597422
{'max_depth': None, 'min_samples_split': 10, 'random_state': 17};0.06104564666748047;0.003484953466775328;0.0006685256958007812;0.00023821448491502544;;10;17;{'max_depth': None, 'min_samples_split': 10, 'random_state': 17};0.5769230769230769;0.6;0.6666666666666666;0.6133333333333333;0.03780290767996331;10;0.9693877551020408;0.96;0.9509803921568627;0.9601227157529678;0.0075152754225820476
{'max_depth': None, 'min_samples_split': 10, 'random_state': 42};0.05951587359110514;0.0061581013069328065;0.0010027885437011719;4.4518990752413805e-06;;10;42;{'max_depth': None, 'min_samples_split': 10, 'random_state': 42};0.6346153846153846;0.54;0.7291666666666666;0.6333333333333333;0.07644058080079186;2;0.9693877551020408;0.96;0.9313725490196079;0.9535867680405495;0.016168614277806834
{'max_depth': 5, 'min_samples_split': 2, 'random_state': 17};0.05810030301411947;0.004100412954605973;0.0011415481567382812;0.0005897273152071481;5;2;17;{'max_depth': 5, 'min_samples_split': 2, 'random_state': 17};0.5769230769230769;0.6;0.5833333333333334;0.5866666666666667;0.009783991809404575;18;0.9897959183673469;0.99;0.9509803921568627;0.9769254368414032;0.018346106218855622
{'max_depth': 5, 'min_samples_split': 2, 'random_state': 42};0.06202308336893717;0.003906032502636823;0.0003350575764973958;0.00023692220420354714;5;2;42;{'max_depth': 5, 'min_samples_split': 2, 'random_state': 42};0.6538461538461539;0.58;0.6666666666666666;0.6333333333333333;0.03807325372978582;2;0.9897959183673469;0.99;0.9411764705882353;0.9736574629851941;0.022967681099705695
{'max_depth': 5, 'min_samples_split': 5, 'random_state': 17};0.06921092669169109;0.006075563067480218;0.0004931290944417318;0.0004097578874912239;5;5;17;{'max_depth': 5, 'min_samples_split': 5, 'random_state': 17};0.5769230769230769;0.6;0.625;0.6;0.019611613513818425;13;0.9795918367346939;0.98;0.9411764705882353;0.9669227691076431;0.01820614483996415
{'max_depth': 5, 'min_samples_split': 5, 'random_state': 42};0.05820306142171224;0.0008485394901433324;0.0005145072937011719;0.0004261549198787409;5;5;42;{'max_depth': 5, 'min_samples_split': 5, 'random_state': 42};0.6538461538461539;0.56;0.7083333333333334;0.64;0.0607784262219506;1;0.9795918367346939;0.98;0.9313725490196079;0.9636547952514339;0.022827603402342685
