Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_alpha;param_max_iter;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'alpha': 0.0001, 'max_iter': 1000, 'random_state': 17};14.97328265508016;2.3896937356335424;0.034860452016194664;0.0012894084451447855;0.0001;1000;17;{'alpha': 0.0001, 'max_iter': 1000, 'random_state': 17};0.8600823045267489;0.9559834938101788;0.8284923928077456;0.8815970628728774;0.0541915366798426;3;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.0001, 'max_iter': 1000, 'random_state': 42};14.790301402409872;2.369062208127683;0.03626783688863119;0.0008546255853504799;0.0001;1000;42;{'alpha': 0.0001, 'max_iter': 1000, 'random_state': 42};0.8463648834019204;0.9601100412654745;0.8229598893499308;0.8765488756310233;0.05989406117196883;7;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.0001, 'max_iter': 2000, 'random_state': 17};14.94871211051941;2.337253706004656;0.035261074701944985;0.0006238404956700791;0.0001;2000;17;{'alpha': 0.0001, 'max_iter': 2000, 'random_state': 17};0.8600823045267489;0.9559834938101788;0.8284923928077456;0.8815970628728774;0.0541915366798426;3;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.0001, 'max_iter': 2000, 'random_state': 42};14.800573905309042;2.365827791725496;0.03676072756449381;0.0004696880836379203;0.0001;2000;42;{'alpha': 0.0001, 'max_iter': 2000, 'random_state': 42};0.8463648834019204;0.9601100412654745;0.8229598893499308;0.8765488756310233;0.05989406117196883;7;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.001, 'max_iter': 1000, 'random_state': 17};15.501371383666992;3.4048204342326662;0.035445213317871094;0.0012702211731564007;0.001;1000;17;{'alpha': 0.001, 'max_iter': 1000, 'random_state': 17};0.8614540466392319;0.9573590096286108;0.8271092669432918;0.8820559889857733;0.05509698900587906;1;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.001, 'max_iter': 1000, 'random_state': 42};14.789282083511353;2.314068444533329;0.03695289293924967;0.001042140769797821;0.001;1000;42;{'alpha': 0.001, 'max_iter': 1000, 'random_state': 42};0.8463648834019204;0.9614855570839065;0.8243430152143845;0.877466727856815;0.06012680063997139;5;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.001, 'max_iter': 2000, 'random_state': 17};15.57002337773641;3.4442301104215036;0.03628190358479818;0.000248844308636257;0.001;2000;17;{'alpha': 0.001, 'max_iter': 2000, 'random_state': 17};0.8614540466392319;0.9573590096286108;0.8271092669432918;0.8820559889857733;0.05509698900587906;1;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.001, 'max_iter': 2000, 'random_state': 42};14.838497797648111;2.3662006635561856;0.03592928250630697;0.0002343926937280539;0.001;2000;42;{'alpha': 0.001, 'max_iter': 2000, 'random_state': 42};0.8463648834019204;0.9614855570839065;0.8243430152143845;0.877466727856815;0.06012680063997139;5;1.0;1.0;1.0;1.0;0.0
