Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{};3.2254928747812905;0.575761493797075;0.06332659721374512;0.00024260571463487156;{};0.7805212620027435;0.8198074277854195;0.7634854771784232;0.7879761358421294;0.02357244213265825;1;0.9206896551724137;0.9318181818181818;0.9354395604395604;0.9293157991433855;0.006276217843881859
Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_iter;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'max_iter': 2500};4.241225242614746;1.4539786081734483;0.07300980885823567;0.012182793378044458;2500;{'max_iter': 2500};0.7777777777777778;0.8253094910591472;0.7662517289073306;0.7898118402937128;0.025554657605197744;2;0.9158620689655173;0.9345730027548209;0.9361263736263736;0.9288538151155706;0.009208414314698508
{'max_iter': 5000};4.428519566853841;1.5178240213693253;0.06467652320861816;0.0017807560230331798;5000;{'max_iter': 5000};0.7997256515775034;0.8253094910591472;0.7551867219917012;0.7934832491968793;0.02894156930427433;1;0.94;0.9146005509641874;0.9375;0.9307001836547291;0.01142981859225451
Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_iter;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'max_iter': 2500};3.444242477416992;0.5374247511183636;0.07252772649129231;0.007281699708831835;2500;{'max_iter': 2500};0.7914951989026063;0.8198074277854195;0.7662517289073306;0.7925653969710876;0.021857038656418967;2;0.9165517241379311;0.9338842975206612;0.9326923076923077;0.9277094431169667;0.007904691836669855
{'max_iter': 5000};4.3388036886851;0.4540629536035611;0.0778791109720866;0.00803471324783874;5000;{'max_iter': 5000};0.8065843621399177;0.828060522696011;0.7717842323651453;0.8022028453419;0.023162807492436824;1;0.9386206896551724;0.9359504132231405;0.9416208791208791;0.9387306606663973;0.002316263671207919
