Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_alpha;param_max_iter;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'alpha': 0.0001, 'max_iter': 1000, 'random_state': 17};22.396773099899292;2.9022521947679114;0.03912711143493652;0.005346093715847704;0.0001;1000;17;{'alpha': 0.0001, 'max_iter': 1000, 'random_state': 17};0.9766162310866575;0.990358126721763;0.9325068870523416;0.9664983937586049;0.024673754371603494;3;0.9972451790633609;0.9951823812801102;0.9965588437715073;0.9963288013716594;0.0008576997543592236
{'alpha': 0.0001, 'max_iter': 1000, 'random_state': 42};84.19053610165913;89.6376822526882;0.033923943837483726;0.010406967662923877;0.0001;1000;42;{'alpha': 0.0001, 'max_iter': 1000, 'random_state': 42};0.9766162310866575;0.990358126721763;0.8636363636363636;0.9435520881138136;0.056767458078406136;7;0.9979338842975206;0.9965588437715073;0.9993117687543015;0.9979348322744431;0.001123877117902822
{'alpha': 0.0001, 'max_iter': 2000, 'random_state': 17};43.13433965047201;21.974320764171047;0.04762585957845052;0.014343252762638531;0.0001;2000;17;{'alpha': 0.0001, 'max_iter': 2000, 'random_state': 17};0.9766162310866575;0.990358126721763;0.9325068870523416;0.9664983937586049;0.024673754371603494;3;0.9972451790633609;0.9951823812801102;0.9965588437715073;0.9963288013716594;0.0008576997543592236
{'alpha': 0.0001, 'max_iter': 2000, 'random_state': 42};105.51736394564311;44.54121835736185;0.10194134712219238;0.044017314817047834;0.0001;2000;42;{'alpha': 0.0001, 'max_iter': 2000, 'random_state': 42};0.9766162310866575;0.990358126721763;0.8636363636363636;0.9435520881138136;0.056767458078406136;7;0.9979338842975206;0.9965588437715073;0.9993117687543015;0.9979348322744431;0.001123877117902822
{'alpha': 0.001, 'max_iter': 1000, 'random_state': 17};66.20421727498372;20.115695053358422;0.052139600118001304;0.01849300262401827;0.001;1000;17;{'alpha': 0.001, 'max_iter': 1000, 'random_state': 17};0.9793672627235214;0.990358126721763;0.9325068870523416;0.9674162459843965;0.025080871229214756;1;0.9965564738292011;0.9958706125258087;0.9965588437715073;0.9963286433755058;0.00032387816496563495
{'alpha': 0.001, 'max_iter': 1000, 'random_state': 42};39.97790892918905;6.794267978518581;0.05782453219095866;0.004531124500299331;0.001;1000;42;{'alpha': 0.001, 'max_iter': 1000, 'random_state': 42};0.9779917469050894;0.9917355371900827;0.8732782369146006;0.947682423129876;0.052892112983861005;5;0.9979338842975206;0.9986235375086029;0.9993117687543015;0.9986230635201417;0.0005625190737852871
{'alpha': 0.001, 'max_iter': 2000, 'random_state': 17};45.16575026512146;7.196188280609389;0.05096705754597982;0.0021006733119784396;0.001;2000;17;{'alpha': 0.001, 'max_iter': 2000, 'random_state': 17};0.9793672627235214;0.990358126721763;0.9325068870523416;0.9674162459843965;0.025080871229214756;1;0.9965564738292011;0.9958706125258087;0.9965588437715073;0.9963286433755058;0.00032387816496563495
{'alpha': 0.001, 'max_iter': 2000, 'random_state': 42};38.93846337000529;6.789882514235475;0.04478621482849121;0.003408919238036739;0.001;2000;42;{'alpha': 0.001, 'max_iter': 2000, 'random_state': 42};0.9779917469050894;0.9917355371900827;0.8732782369146006;0.947682423129876;0.052892112983861005;5;0.9979338842975206;0.9986235375086029;0.9993117687543015;0.9986230635201417;0.0005625190737852871
