Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_C;param_kernel;param_probability;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'C': 1, 'kernel': 'linear', 'probability': True, 'random_state': 17};2.725379784901937;0.30856140241909913;0.2049108346303304;0.023424066983696812;1;linear;True;17;{'C': 1, 'kernel': 'linear', 'probability': True, 'random_state': 17};0.9724896836313618;0.9738292011019284;0.9090909090909091;0.9518127581459385;0.030203464174970628;1;0.9986225895316805;0.9986235375086029;0.9993117687543015;0.9988526319315283;0.0003246589915431981
{'C': 1, 'kernel': 'linear', 'probability': True, 'random_state': 42};2.7950863043467202;0.19731497243498256;0.20425836245218912;0.02270979807486583;1;linear;True;42;{'C': 1, 'kernel': 'linear', 'probability': True, 'random_state': 42};0.9724896836313618;0.9738292011019284;0.9090909090909091;0.9518127581459385;0.030203464174970628;1;0.9986225895316805;0.9986235375086029;0.9993117687543015;0.9988526319315283;0.0003246589915431981
{'C': 5, 'kernel': 'linear', 'probability': True, 'random_state': 17};2.5761454900105796;0.22109408262339103;0.20209081967671713;0.015643464484537788;5;linear;True;17;{'C': 5, 'kernel': 'linear', 'probability': True, 'random_state': 17};0.9766162310866575;0.9600550964187328;0.8760330578512396;0.937586048646168;0.04403185090168062;5;0.9993112947658402;0.9993117687543015;1.0;0.9995410211733806;0.00032454709841045666
{'C': 5, 'kernel': 'linear', 'probability': True, 'random_state': 42};2.7571924527486167;0.12183726328981616;0.20054403940836588;0.012220585340717063;5;linear;True;42;{'C': 5, 'kernel': 'linear', 'probability': True, 'random_state': 42};0.9766162310866575;0.9600550964187328;0.8760330578512396;0.937586048646168;0.04403185090168062;5;0.9993112947658402;0.9993117687543015;1.0;0.9995410211733806;0.00032454709841045666
{'C': 10, 'kernel': 'linear', 'probability': True, 'random_state': 17};2.6687587896982827;0.1941417656620195;0.2236186663309733;0.04255923226821075;10;linear;True;17;{'C': 10, 'kernel': 'linear', 'probability': True, 'random_state': 17};0.9752407152682255;0.9614325068870524;0.8801652892561983;0.9389628269848554;0.041942467840486566;3;0.9993112947658402;0.9993117687543015;1.0;0.9995410211733806;0.00032454709841045666
{'C': 10, 'kernel': 'linear', 'probability': True, 'random_state': 42};3.002758582433065;0.2914615936475472;0.2029250462849935;0.019673445843468695;10;linear;True;42;{'C': 10, 'kernel': 'linear', 'probability': True, 'random_state': 42};0.9752407152682255;0.9614325068870524;0.8801652892561983;0.9389628269848554;0.041942467840486566;3;0.9993112947658402;0.9993117687543015;1.0;0.9995410211733806;0.00032454709841045666
