Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_C;param_kernel;param_probability;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'C': 1, 'kernel': 'rbf', 'probability': True, 'random_state': 17};7.003119309743245;0.9014417906703978;0.5758876005808512;0.0624517532709128;1;rbf;True;17;{'C': 1, 'kernel': 'rbf', 'probability': True, 'random_state': 17};0.9766162310866575;0.987603305785124;0.8677685950413223;0.9440110142267095;0.05407935686126376;1;0.9944903581267218;0.9910529938059188;0.9951823812801102;0.9935752444042502;0.00180573808949764
{'C': 1, 'kernel': 'rbf', 'probability': True, 'random_state': 42};6.735091209411621;0.7703306561050269;0.5759257475535074;0.0711056969512399;1;rbf;True;42;{'C': 1, 'kernel': 'rbf', 'probability': True, 'random_state': 42};0.9766162310866575;0.987603305785124;0.8677685950413223;0.9440110142267095;0.05407935686126376;1;0.9944903581267218;0.9910529938059188;0.9951823812801102;0.9935752444042502;0.00180573808949764
{'C': 5, 'kernel': 'rbf', 'probability': True, 'random_state': 17};6.539756457010905;0.6435529824980265;0.6108950773874918;0.043620273970361854;5;rbf;True;17;{'C': 5, 'kernel': 'rbf', 'probability': True, 'random_state': 17};0.9752407152682255;0.9889807162534435;0.7865013774104683;0.9169343735658559;0.0923688296660163;5;0.9972451790633609;0.9951823812801102;0.9958706125258087;0.9960993909564265;0.0008575306996965115
{'C': 5, 'kernel': 'rbf', 'probability': True, 'random_state': 42};6.624078114827474;0.8817559226546232;0.5472040971120199;0.06401048824364983;5;rbf;True;42;{'C': 5, 'kernel': 'rbf', 'probability': True, 'random_state': 42};0.9752407152682255;0.9889807162534435;0.7865013774104683;0.9169343735658559;0.0923688296660163;5;0.9972451790633609;0.9951823812801102;0.9958706125258087;0.9960993909564265;0.0008575306996965115
{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 17};6.596009174982707;0.7006776016177113;0.6048394838968912;0.12938392136108487;10;rbf;True;17;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 17};0.9752407152682255;0.9889807162534435;0.8057851239669421;0.9233593391463975;0.08329803657540243;3;0.9972451790633609;0.9951823812801102;0.9958706125258087;0.9960993909564265;0.0008575306996965115
{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};8.540158748626709;1.47174654462966;0.9000720183054606;0.14901503433014598;10;rbf;True;42;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};0.9752407152682255;0.9889807162534435;0.8057851239669421;0.9233593391463975;0.08329803657540243;3;0.9972451790633609;0.9951823812801102;0.9958706125258087;0.9960993909564265;0.0008575306996965115
