Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_min_samples_split;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'max_depth': None, 'min_samples_split': 2, 'random_state': 17};0.888642946879069;0.0559402641894872;0.004009326299031575;4.380389461364959e-06;;2;17;{'max_depth': None, 'min_samples_split': 2, 'random_state': 17};0.9559834938101788;0.918732782369146;0.7975206611570248;0.8907755851307939;0.06765035133989804;1;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'min_samples_split': 2, 'random_state': 42};0.8239264488220215;0.034766410509156326;0.003985246022542317;0.0004110037731833662;;2;42;{'max_depth': None, 'min_samples_split': 2, 'random_state': 42};0.9573590096286108;0.9104683195592287;0.709366391184573;0.8591096833409821;0.10756556465837601;11;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'min_samples_split': 5, 'random_state': 17};1.0012705326080322;0.07777433702354765;0.005025466283162435;0.0014100833506963666;;5;17;{'max_depth': None, 'min_samples_split': 5, 'random_state': 17};0.9559834938101788;0.918732782369146;0.7975206611570248;0.8907755851307939;0.06765035133989804;1;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'min_samples_split': 5, 'random_state': 42};1.0375460783640544;0.04275029190098948;0.006029287974039714;0.0028308399267953812;;5;42;{'max_depth': None, 'min_samples_split': 5, 'random_state': 42};0.953232462173315;0.9104683195592287;0.709366391184573;0.8577329050022946;0.10631839650025068;17;0.9993112947658402;1.0;1.0;0.9997704315886135;0.0003246587608753564
{'max_depth': None, 'min_samples_split': 10, 'random_state': 17};0.9136446317036947;0.1028757686215672;0.006014347076416016;0.0024337597899202366;;10;17;{'max_depth': None, 'min_samples_split': 10, 'random_state': 17};0.951856946354883;0.9146005509641874;0.7975206611570248;0.888022028453419;0.06575578355077832;8;0.9979338842975206;0.9993117687543015;1.0;0.9990818843506073;0.0008590085965050358
{'max_depth': None, 'min_samples_split': 10, 'random_state': 42};0.8968103726704916;0.15201793405025715;0.0033347606658935547;0.0002304229740485701;;10;42;{'max_depth': None, 'min_samples_split': 10, 'random_state': 42};0.9573590096286108;0.9104683195592287;0.709366391184573;0.8591096833409821;0.10756556465837601;11;0.9986225895316805;1.0;1.0;0.9995408631772268;0.0006493175217507127
{'max_depth': 5, 'min_samples_split': 2, 'random_state': 17};0.7408894697825114;0.008827985188330181;0.0033419926961263022;0.00023742726656253977;5;2;17;{'max_depth': 5, 'min_samples_split': 2, 'random_state': 17};0.9559834938101788;0.918732782369146;0.7975206611570248;0.8907755851307939;0.06765035133989804;1;1.0;0.9958706125258087;1.0;0.9986235375086029;0.001946611923431656
{'max_depth': 5, 'min_samples_split': 2, 'random_state': 42};0.7566999594370524;0.00802626157155151;0.003159205118815104;0.00020945171307598342;5;2;42;{'max_depth': 5, 'min_samples_split': 2, 'random_state': 42};0.953232462173315;0.9146005509641874;0.709366391184573;0.8591096833409821;0.10701684463376226;11;0.9993112947658402;0.9986235375086029;1.0;0.9993116107581477;0.0005619385034231298
{'max_depth': 5, 'min_samples_split': 5, 'random_state': 17};0.7397510210673014;0.014027101139133955;0.0030264854431152344;2.5794054934412133e-05;5;5;17;{'max_depth': 5, 'min_samples_split': 5, 'random_state': 17};0.9559834938101788;0.918732782369146;0.7975206611570248;0.8907755851307939;0.06765035133989804;1;1.0;0.9958706125258087;1.0;0.9986235375086029;0.001946611923431656
{'max_depth': 5, 'min_samples_split': 5, 'random_state': 42};0.7430900732676188;0.012043592087186685;0.0034890969594319663;2.3695443185670653e-05;5;5;42;{'max_depth': 5, 'min_samples_split': 5, 'random_state': 42};0.953232462173315;0.9146005509641874;0.709366391184573;0.8591096833409821;0.10701684463376226;11;0.9993112947658402;0.9986235375086029;1.0;0.9993116107581477;0.0005619385034231298
{'max_depth': 5, 'min_samples_split': 10, 'random_state': 17};0.7501044273376465;0.014736471397215617;0.0038595199584960938;0.0004964903429613549;5;10;17;{'max_depth': 5, 'min_samples_split': 10, 'random_state': 17};0.951856946354883;0.918732782369146;0.7975206611570248;0.8893988067921065;0.06633854224058595;7;0.9979338842975206;0.9958706125258087;1.0;0.997934832274443;0.0016858155102693895
{'max_depth': 5, 'min_samples_split': 10, 'random_state': 42};0.7409760157267252;0.015151037516660184;0.003508329391479492;2.1937964346952854e-06;5;10;42;{'max_depth': 5, 'min_samples_split': 10, 'random_state': 42};0.9573590096286108;0.9146005509641874;0.709366391184573;0.8604864616796696;0.10823845556949621;10;0.9986225895316805;0.9986235375086029;1.0;0.9990820423467611;0.0006490941968209393
