Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_n_restarts_optimizer;param_optimizer;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'n_restarts_optimizer': 3, 'optimizer': None, 'random_state': 42};90.37866425514221;0.18217316969226904;42.95945278803507;0.2598428299311166;3;;42;{'n_restarts_optimizer': 3, 'optimizer': None, 'random_state': 42};0.07763401109057301;0.07835820895522388;0.07835820895522388;0.07811531308121512;0.00034191558560435855;1;1.0;1.0;1.0;1.0;0.0
{'n_restarts_optimizer': 3, 'optimizer': 'fmin_l_bfgs_b', 'random_state': 42};90.2485138575236;0.5018684936790677;43.30728109677633;0.4483898460124142;3;fmin_l_bfgs_b;42;{'n_restarts_optimizer': 3, 'optimizer': 'fmin_l_bfgs_b', 'random_state': 42};0.07763401109057301;0.07835820895522388;0.07835820895522388;0.07811531308121512;0.00034191558560435855;1;1.0;1.0;1.0;1.0;0.0
