Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_min_samples_split;param_n_estimators;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'max_depth': 5, 'max_features': None, 'min_samples_split': 4, 'n_estimators': 50, 'random_state': 42};35.26512344678243;0.2873444626491607;0.0130464235941569;0.000850968098621683;5;;4;50;42;{'max_depth': 5, 'max_features': None, 'min_samples_split': 4, 'n_estimators': 50, 'random_state': 42};0.8983364140480592;0.8694029850746269;0.8227611940298507;0.8636081835089895;0.031146467293175353;15;0.9682835820895522;0.968430826369545;0.9767873723305478;0.971167260263215;0.003974473965741235
{'max_depth': 10, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 42};0.03782018025716146;0.001303631415924081;0.0067170461018880205;0.0009236984671057488;10;1;2;10;42;{'max_depth': 10, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 42};0.7929759704251387;0.7873134328358209;0.7761194029850746;0.7854928704277744;0.007005656155283415;34;0.9617537313432836;0.9823584029712163;0.9832869080779945;0.9757996807974981;0.009939217021009616
{'max_depth': 10, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 42};0.09183740615844727;0.0003782455466674144;0.019065459569295246;0.0043257700566772805;10;1;2;50;42;{'max_depth': 10, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 42};0.878003696857671;0.8600746268656716;0.8283582089552238;0.8555486670799752;0.020532936633818652;22;0.9925373134328358;1.0;1.0;0.9975124378109452;0.003517944185007709
{'max_depth': 10, 'max_features': 1, 'min_samples_split': 4, 'n_estimators': 10, 'random_state': 42};0.0379946231842041;0.0022999143851127964;0.006333669026692708;0.001227575108549802;10;1;4;10;42;{'max_depth': 10, 'max_features': 1, 'min_samples_split': 4, 'n_estimators': 10, 'random_state': 42};0.8373382624768947;0.8003731343283582;0.7761194029850746;0.8047117172969622;0.025198162176672378;32;0.960820895522388;0.9628597957288765;0.9814298978644382;0.9683701963719008;0.009272041516251635
{'max_depth': 10, 'max_features': 1, 'min_samples_split': 4, 'n_estimators': 50, 'random_state': 42};0.09220186869303386;0.0030346867081544287;0.016546169916788738;0.0010626326917755424;10;1;4;50;42;{'max_depth': 10, 'max_features': 1, 'min_samples_split': 4, 'n_estimators': 50, 'random_state': 42};0.8964879852125693;0.871268656716418;0.8302238805970149;0.866088034717917;0.027318446284162023;12;0.9934701492537313;0.9962859795728877;0.9990714948932219;0.9962758745732803;0.002286750944975972
{'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 42};0.19991628328959146;0.0081765404091848;0.006688038508097331;0.0004592093816979491;10;auto;2;10;42;{'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 42};0.8983364140480592;0.8470149253731343;0.8190298507462687;0.8549287042777434;0.03287895689003942;24;0.9953358208955224;0.9935004642525533;0.9990714948932219;0.9959692600137658;0.0023180493864752975
{'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 42};0.9241117636362711;0.00762227800712279;0.015383005142211914;0.0009392035244618549;10;auto;2;50;42;{'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 42};0.9242144177449169;0.8992537313432836;0.8768656716417911;0.9001859888406696;0.019355986639577393;1;1.0;1.0;1.0;1.0;0.0
{'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 10, 'random_state': 42};0.20444019635518393;0.008888274510764963;0.006700197855631511;0.0009327294453359475;10;auto;4;10;42;{'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 10, 'random_state': 42};0.8872458410351202;0.8843283582089553;0.8227611940298507;0.8648481091134532;0.029714698788919212;13;0.9944029850746269;0.9925719591457753;0.9981429897864438;0.9950393113356153;0.0023184447276330617
{'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 50, 'random_state': 42};0.9084813594818115;0.014256232772398594;0.015379508336385092;0.0004789005906797853;10;auto;4;50;42;{'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 50, 'random_state': 42};0.9131238447319778;0.8992537313432836;0.8470149253731343;0.8865468071915685;0.028458207690350953;4;1.0;1.0;1.0;1.0;0.0
{'max_depth': 10, 'max_features': None, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 42};8.691637992858887;0.21346983282908313;0.006017605463663737;0.0008217993957152355;10;;2;10;42;{'max_depth': 10, 'max_features': None, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 42};0.9001848428835489;0.8675373134328358;0.8171641791044776;0.8617482951022939;0.03416390860310591;16;0.9972014925373134;0.9972144846796658;0.9972144846796658;0.9972101539655484;6.12455463968062e-06
{'max_depth': 10, 'max_features': None, 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 42};43.01888648668925;0.7869295717968816;0.01574261983235677;0.001712199096804582;10;;2;50;42;{'max_depth': 10, 'max_features': None, 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 42};0.911275415896488;0.875;0.8582089552238806;0.8815871047737136;0.022173251924072202;7;1.0;1.0;1.0;1.0;0.0
{'max_depth': 10, 'max_features': None, 'min_samples_split': 4, 'n_estimators': 10, 'random_state': 42};8.626862208048502;0.14591461394240562;0.006377855936686198;0.0019017715210484136;10;;4;10;42;{'max_depth': 10, 'max_features': None, 'min_samples_split': 4, 'n_estimators': 10, 'random_state': 42};0.8946395563770795;0.871268656716418;0.8134328358208955;0.8598884066955983;0.034135359310135366;18;0.996268656716418;0.9962859795728877;0.9981429897864438;0.9968992086919165;0.0008795144791935813
{'max_depth': 10, 'max_features': None, 'min_samples_split': 4, 'n_estimators': 50, 'random_state': 42};42.96504092216492;0.6557569719284113;0.01721032460530599;0.006592692891100282;10;;4;50;42;{'max_depth': 10, 'max_features': None, 'min_samples_split': 4, 'n_estimators': 50, 'random_state': 42};0.9131238447319778;0.8805970149253731;0.8488805970149254;0.8809671419714817;0.02624852893688922;8;1.0;1.0;1.0;1.0;0.0
